00000 TOP FRAG%%%%%NP 0.000225954658432 
00001 TOP SBAR 0.000577439682659 
00002 TOP SINV 0.0447390223695 
00003 TOP ADJP 0.000150636438955 
00004 TOP FRAG%%%%%ADVP 2.51060731591e-05 
00005 TOP PP 0.000451909316864 
00006 TOP NP%%%%%S 2.51060731591e-05 
00007 TOP UCP 0.000301272877909 
00008 TOP PRN 0.000225954658432 
00009 TOP FRAG%%%%%SBAR 7.53182194773e-05 
00010 TOP FRAG%%%%%PP 7.53182194773e-05 
00011 TOP NP 0.0321357736436 
00012 TOP X%%%%%ADVP 2.51060731591e-05 
00013 TOP X%%%%%SBARQ 2.51060731591e-05 
00014 TOP FRAG 0.00577439682659 
00015 TOP S%%%%%VP 0.000376591097386 
00016 TOP INTJ 0.000351485024227 
00017 TOP VP 0.000200848585273 
00018 TOP SBARQ 0.00321357736436 
00019 TOP X 0.000853606487409 
00020 TOP ADVP 0.000175742512114 
00021 TOP FRAG%%%%%WHADVP 2.51060731591e-05 
00022 TOP SQ 0.00241018302327 
00023 TOP S 0.907559438628 
00024 S X S@ 0.000108660219494 
00025 S ADVP ADJP 0.000108660219494 
00026 S S%%%%%VP SBARQ 1.55228884991e-05 
00027 S FRAG%%%%%S S@ 3.10457769982e-05 
00028 S PRN%%%%%S VP 1.55228884991e-05 
00029 S DT VP 7.76144424955e-05 
00030 S VP PP 0.000139705996492 
00031 S S%%%%%VP S@ 0.00911193554897 
00032 S S%%%%%NP S@ 0.000403595100976 
00033 S CONJP S@ 9.31373309946e-05 
00034 S NP PP 0.0016609490694 
00035 S RB ADJP 1.55228884991e-05 
00036 S `` NP%%%%%S%%%%%VP 1.55228884991e-05 
00037 S NP%%%%%QP S@ 9.31373309946e-05 
00038 S NP%%%%%QP PP 1.55228884991e-05 
00039 S ADJP SBAR%%%%%S 0.000124183107993 
00040 S NP S@ 0.354108132441 
00041 S : S@ 0.000620915539964 
00042 S NP%%%%%ADVP VP 1.55228884991e-05 
00043 S VP S@ 0.000139705996492 
00044 S INTJ S@ 0.000574346874466 
00045 S S%%%%%UCP S@ 7.76144424955e-05 
00046 S NP SBAR 3.10457769982e-05 
00047 S CC S@ 0.033933034259 
00048 S S PRN 7.76144424955e-05 
00049 S S VP 4.65686654973e-05 
00050 S ADJP NP 0.000248366215985 
00051 S VP '' 1.55228884991e-05 
00052 S PRN S@ 0.000124183107993 
00053 S NP%%%%%QP VP 0.000310457769982 
00054 S MD S@ 1.55228884991e-05 
00055 S NP VP 0.343940640474 
00056 S ADJP ADVP 1.55228884991e-05 
00057 S VP VP 3.10457769982e-05 
00058 S IN S@ 0.000589869762965 
00059 S RB S@ 0.00104003352944 
00060 S VP NP 0.000124183107993 
00061 S , S@ 0.000419117989475 
00062 S ADJP SBAR 0.000139705996492 
00063 S S S@ 0.0615172071219 
00064 S S%%%%%VP ADJP 3.10457769982e-05 
00065 S UCP S@ 9.31373309946e-05 
00066 S NP ADJP 0.00591422051815 
00067 S `` S@ 0.0315269865417 
00068 S ADJP VP 1.55228884991e-05 
00069 S NP VP%%%%%S%%%%%VP 1.55228884991e-05 
00070 S TO VP 7.76144424955e-05 
00071 S `` ADJP 3.10457769982e-05 
00072 S S%%%%%ADVP S@ 6.20915539964e-05 
00073 S VP . 0.00133496841092 
00074 S NP NP 0.00296487170333 
00075 S NP S%%%%%VP 1.55228884991e-05 
00076 S PP NP 3.10457769982e-05 
00077 S VBD S@ 1.55228884991e-05 
00078 S NP%%%%%S%%%%%VP S@ 1.55228884991e-05 
00079 S ADVP VP 0.00672141072011 
00080 S ADJP S@ 0.000248366215985 
00081 S LST S@ 0.000465686654973 
00082 S SINV S@ 0.000248366215985 
00083 S NP%%%%%SBAR VP 1.55228884991e-05 
00084 S `` NP 0.000527778208969 
00085 S VP PRN 1.55228884991e-05 
00086 S INTJ VP 4.65686654973e-05 
00087 S VP , 7.76144424955e-05 
00088 S NP UCP 4.65686654973e-05 
00089 S `` VP 7.76144424955e-05 
00090 S VP : 0.000108660219494 
00091 S ADJP . 1.55228884991e-05 
00092 S -LRB- S@ 0.00217320438987 
00093 S CC VP 3.10457769982e-05 
00094 S SQ S@ 3.10457769982e-05 
00095 S ADJP PP 0.00017075177349 
00096 S SBAR S@ 0.0265441393334 
00097 S WHNP VP 1.55228884991e-05 
00098 S S%%%%%PP S@ 0.000139705996492 
00099 S SBAR VP 0.000543301097468 
00100 S PP PP 1.55228884991e-05 
00101 S S%%%%%VP VP 0.0017696092889 
00102 S ADVP NP 9.31373309946e-05 
00103 S `` PP 1.55228884991e-05 
00104 S PP VP 0.000977941975443 
00105 S SBAR%%%%%SINV S@ 0.000124183107993 
00106 S PRN%%%%%S%%%%%VP S@ 1.55228884991e-05 
00107 S NP ADVP 0.000388072212477 
00108 S S%%%%%VP PRN 1.55228884991e-05 
00109 S S . 1.55228884991e-05 
00110 S FRAG%%%%%ADVP S@ 1.55228884991e-05 
00111 S ADVP S@ 0.0314959407647 
00112 S '' S@ 0.000217320438987 
00113 S PP S@ 0.0715294702038 
00114 S FRAG%%%%%NP S@ 6.20915539964e-05 
00115 S NP%%%%%S%%%%%VP VP 3.10457769982e-05 
00116 S FRAG S@ 9.31373309946e-05 
00117 S RBR S@ 1.55228884991e-05 
00118 S PRN VP 0.000108660219494 
00119 S INTJ%%%%%S S@ 1.55228884991e-05 
00120 S ADVP PP 1.55228884991e-05 
00121 S S%%%%%ADJP S@ 0.000667484205461 
00122 S RB VP 0.00159885751541 
00123 S NP X 1.55228884991e-05 
00124 S `` S 1.55228884991e-05 
00125 S , VP 1.55228884991e-05 
00126 S SBARQ S@ 6.20915539964e-05 
00127 PP NNP NP 0.000116280298946 
00128 PP CONJP PP@ 0.000179705916553 
00129 PP JJR PP@ 2.11418725357e-05 
00130 PP IN PRN 3.17128088035e-05 
00131 PP JJ 4.22837450713e-05 
00132 PP NP%%%%%QP PP@ 9.51384264104e-05 
00133 PP PP ADVP 2.11418725357e-05 
00134 PP ADVP PP@ 0.00654340954978 
00135 PP NP IN 2.11418725357e-05 
00136 PP RP 0.000179705916553 
00137 PP IN NP%%%%%S%%%%%VP 2.11418725357e-05 
00138 PP RP PP 0.000126851235214 
00139 PP CC PP 5.28546813391e-05 
00140 PP NP NP 2.11418725357e-05 
00141 PP RB PP@ 0.00334041586063 
00142 PP RB 9.51384264104e-05 
00143 PP TO NP 0.0787851880041 
00144 PP NP PP 4.22837450713e-05 
00145 PP VBN PP 0.00316070994408 
00146 PP TO UCP 1.05709362678e-05 
00147 PP ADVP ADJP 1.05709362678e-05 
00148 PP RB ADJP 0.000126851235214 
00149 PP IN UCP 0.00014799310775 
00150 PP NN PP 2.11418725357e-05 
00151 PP IN PP%%%%%NP 1.05709362678e-05 
00152 PP CC S%%%%%VP 1.05709362678e-05 
00153 PP CC PP@ 0.00014799310775 
00154 PP PRP$ PP@ 1.05709362678e-05 
00155 PP VBN SBAR 8.45674901426e-05 
00156 PP IN NP%%%%%ADJP 1.05709362678e-05 
00157 PP VBG S%%%%%VP 8.45674901426e-05 
00158 PP IN RBS 4.22837450713e-05 
00159 PP VBZ NP 1.05709362678e-05 
00160 PP VBG NP 0.00623685239802 
00161 PP RB S 1.05709362678e-05 
00162 PP TO PP 3.17128088035e-05 
00163 PP PP PP@ 0.00457721540397 
00164 PP , PP@ 2.11418725357e-05 
00165 PP IN NP 0.7963509128 
00166 PP VBG PP@ 7.39965538748e-05 
00167 PP IN VP 6.3425617607e-05 
00168 PP RB PP 0.000475692132052 
00169 PP TO S 9.51384264104e-05 
00170 PP RB ADVP 4.22837450713e-05 
00171 PP RP S%%%%%VP 1.05709362678e-05 
00172 PP IN SBAR%%%%%S%%%%%VP 2.11418725357e-05 
00173 PP FW PP@ 3.17128088035e-05 
00174 PP JJ NP 0.000158564044017 
00175 PP RP PP@ 1.05709362678e-05 
00176 PP TO NP%%%%%QP 0.00861531305828 
00177 PP TO S%%%%%VP 0.00145878920496 
00178 PP VBN NP 0.000443979323249 
00179 PP TO SBAR 0.000317128088035 
00180 PP RBR PP@ 5.28546813391e-05 
00181 PP IN JJS 1.05709362678e-05 
00182 PP VBN SBAR%%%%%S 4.22837450713e-05 
00183 PP `` PP@ 9.51384264104e-05 
00184 PP FW NP 0.000105709362678 
00185 PP TO VP 5.28546813391e-05 
